CACODE,population_exclude_foreign_worker_2016,population_exclude_foreign_worker_lte_age15_2016,population_exclude_foreign_worker_lte_age20_2016,no_of_voters,no_of_voted_voters,total_votes,candi_1,candi_2,candi_3,candi_4,candi_5,candi_6
E15,16055,6276,5402,"5,614",0,0,,,,,,
E16,12875,7953,7402,"5,181",2406,2371,689,1682,,,,
E17,14193,8041,7435,"3,427",1551,1533,681,852,,,,
E18,15901,3174,2765,"5,498",1658,1585,486,1099,,,,
E19,18048,3993,3089,"3,852",1344,1327,941,386,,,,
F01,18877,2847,2180,"7,500",3648,3593,1664,1929,,,,
F02,15480,3205,2628,"6,712",3081,3044,1491,246,1307,,,
F03,23001,2699,2699,"5,711",2317,2257,1461,796,,,,
F04,20989,3511,2557,"10,075",4983,4935,2847,2088,,,,
F05,21005,3091,3091,"6,249",3047,3014,1727,1287,,,,
F06,22322,2603,2603,"6,404",2392,2330,786,1544,,,,
F07,21346,3970,2984,"4,986",1843,1822,1284,538,,,,
F08,18871,3276,2333,"7,507",3137,3090,1217,1873,,,,
F09,18676,3958,3958,"10,747",5175,5103,2130,2973,,,,
F10,13151,8551,7875,"8,995",5224,5178,2531,215,2432,,,
F11,15594,5345,4694,"7,404",4091,4035,1898,2137,,,,
F12,17053,3358,3358,"8,843",4780,4762,3477,1191,94,,,
F13,15645,5505,5015,"8,564",4849,4793,179,2193,2421,,,
F14,12138,7423,7019,"7,331",3782,3719,1803,1675,241,,,
F15,14719,4075,3583,"8,061",4478,4452,2636,1816,,,,
F16,18354,3906,3190,"7,085",4628,4582,2229,2353,,,,
F17,14798,4773,4168,"4,411",2160,2114,1173,64,877,,,
F18,18362,5030,4317,"10,274",4750,4651,3491,1160,,,,
F19,12050,7434,7133,"9,267",4506,4459,2335,2124,,,,
F20,16499,4765,4765,"7,647",3503,3472,2320,1152,,,,
F21,13350,5710,5710,"5,905",3318,3259,982,2277,,,,
F22,14400,5904,5364,"8,858",4651,4608,1991,2563,54,,,
F23,15248,4125,3587,"8,170",4334,4293,161,1678,2454,,,
G01,18730,5310,4423,"10,030",5349,5295,2670,2625,,,,
G02,19716,2406,1460,"7,732",3463,3429,1618,148,1663,,,
G03,15060,8677,8113,"6,593",2683,2558,1790,768,,,,
G04,15008,6014,5346,"7,944",3891,3871,2310,1561,,,,
G05,15124,6542,5786,"9,929",5358,5317,209,2776,2332,,,
G06,17967,8296,7452,"9,353",4272,4228,2376,1852,,,,
G07,16424,4383,3667,"7,981",3840,3803,1333,92,2378,,,
G08,13457,6532,5823,"6,619",0,0,,,,,,
G09,17433,6142,5273,"7,383",0,0,,,,,,
G10,14617,3705,3235,"6,108",2517,2416,395,2021,,,,
G11,21315,2875,1919,"7,304",3243,3211,2015,502,694,,,
G12,16084,4406,3585,"6,364",3653,3631,2610,73,16,932,,
G13,14846,5547,4913,"5,466",2994,2962,2199,763,,,,
G14,15191,5023,4406,"7,764",3272,3132,2478,654,,,,
G15,15514,5579,4636,"5,331",1983,1925,204,177,1544,,,
G16,14598,5971,5359,"5,926",2784,2739,1719,1020,,,,
G17,17744,2848,1983,"7,130",3726,3696,950,1607,1139,,,
G18,16164,5995,5103,"9,122",5031,4982,596,2345,2041,,,
G19,20451,2901,2000,"8,509",4243,4189,2114,2075,,,,
G20,17818,3143,2347,"8,134",3784,3760,47,162,1740,1811,,
G21,14114,4155,3434,"5,346",2776,2748,1173,1544,31,,,
G22,18977,5487,4644,"10,227",0,0,,,,,,
G23,14068,6799,6074,"8,831",4410,4353,2806,1547,,,,
G24,13035,8383,7788,"9,167",4650,4614,2772,1842,,,,
H01,15945,6227,5264,"7,651",3228,3147,241,715,2191,,,
H02,11440,8143,7774,"8,511",4029,3998,1446,2552,,,,
H03,19696,5059,4151,"11,574",4548,4480,2798,1478,204,,,
H04,14724,4627,3867,"6,281",3140,3097,1422,1675,,,,
H05,15105,8157,7469,"11,251",5053,4934,2766,2168,,,,
H06,18734,5392,4596,"11,801",6131,6022,297,111,2640,2974,,
H07,23393,2286,2286,"10,563",4503,4310,3026,1284,,,,
H08,16136,4064,3380,"9,853",4218,4158,1448,2710,,,,
H09,16094,5244,4572,"9,738",4543,4491,2894,1597,,,,
H10,14000,7741,7139,"8,802",3251,3213,981,2232,,,,
H11,17047,3130,2363,"10,815",0,0,,,,,,
H12,13520,5905,5438,"9,668",5051,4979,2207,2772,,,,
H13,17686,4102,3212,"12,167",5728,5660,1878,2967,815,,,
H14,15363,5381,4541,"8,575",4201,4163,3056,1107,,,,
H15,14919,5392,4816,"11,148",4104,4005,1206,2799,,,,
H16,19825,3360,3360,"11,429",6081,6052,362,2405,3285,,,
H17,20297,2192,2192,"11,299",5349,5291,3243,2048,,,,
H18,22409,2685,2685,"11,145",0,0,,,,,,
H19,20628,1898,1898,"10,485",4819,4777,3192,1585,,,,
H20,18285,4887,4090,"12,358",6338,6284,2377,3907,,,,
H21,14150,6757,5977,"7,018",3918,3881,1551,129,2201,,,
H22,12609,8203,7663,"7,365",3797,3753,2432,1321,,,,
H23,13542,6767,6091,"8,594",4545,4492,1810,2682,,,,
H24,15526,5068,4522,"8,638",4219,4161,2083,2078,,,,
H25,14834,8431,7483,"9,126",4612,4537,1639,2898,,,,
J01,15344,3260,2705,"7,531",0,0,,,,,,
J02,12275,4931,4407,"6,928",0,0,,,,,,
J03,14727,5756,5408,"8,312",4007,3954,1826,2128,,,,
J04,14670,4214,3731,"10,391",5798,5742,2682,3060,,,,
J05,12994,7686,7002,"7,903",0,0,,,,,,
J06,21878,2858,2858,"8,300",0,0,,,,,,
J07,20085,2371,2371,"9,123",4105,4038,1400,2638,,,,
J08,18325,2726,2021,"11,463",5683,5628,2864,2764,,,,
J09,17070,6712,6712,"10,164",0,0,,,,,,
J10,14424,8381,7937,"7,641",3908,3885,2128,1665,92,,,
J11,22379,4364,4364,"10,980",5167,5035,1042,3993,,,,
J12,20436,2676,2676,"11,614",0,0,,,,,,
J13,16535,6016,5361,"11,826",5846,5750,2284,3466,,,,
J14,15390,5510,5510,"7,230",3455,3426,2418,668,340,,,
J15,16908,5267,4309,"9,085",0,0,,,,,,
J16,16860,5851,5298,"10,994",4635,4549,2424,2125,,,,
J17,21627,2843,2843,"10,738",4598,4500,3215,1285,,,,
J18,18757,4146,3532,"12,541",0,0,,,,,,
J19,16214,5637,5000,"10,499",4435,4392,3404,988,,,,
J20,12517,7466,6903,"8,863",4368,4332,138,2666,1528,,,
J21,20850,2771,2771,"11,217",0,0,,,,,,
J22,20589,1894,1894,"8,365",3527,3496,318,1914,1264,,,
J23,22314,3194,3194,"10,416",5599,5572,2918,2654,,,,
J24,18972,2972,2090,"9,689",0,0,,,,,,
J25,23669,2157,2157,"11,583",7383,7334,4091,3243,,,,
J26,18753,3786,2872,"10,712",5029,4961,2791,2170,,,,
J27,18284,4748,4008,"11,881",4665,4591,3457,1134,,,,
J28,13714,8309,7757,"9,037",3846,3814,2097,1717,,,,
J29,13067,6915,6414,"7,395",3530,3501,2403,1098,,,,
J30,16539,6897,6177,"7,267",3394,3372,634,1831,907,,,
J31,15221,4457,3932,"7,682",3184,3149,1624,1525,,,,
J32,17580,4604,3722,"8,938",4290,4256,2159,2097,,,,
J33,15043,6803,6133,"8,763",4022,3984,2453,1531,,,,
J34,16806,3710,3137,"8,460",4497,4420,1979,2441,,,,
J35,16420,2852,2485,"7,938",0,0,,,,,,
J36,12637,6352,5790,"7,584",3037,2975,1729,1246,,,,
J37,12727,8227,7777,"7,294",3964,3932,1687,2245,,,,
L12,21734,2783,2783,"7,794",2800,0,,,,,,
L13,23246,2127,2127,"7,891",4442,3308,2075,1233,,,,
L14,18943,2936,2936,"10,229",4944,4573,1926,2647,,,,
L15,16832,3756,3049,"7,364",3847,3375,1825,1550,,,,
L16,14448,8980,8277,"7,432",3574,0,,,,,,
L17,16177,4092,3427,"9,451",2542,5694,3674,2020,,,,
L18,15312,4503,3957,"7,970",4514,4309,2235,2074,,,,
L19,19319,5129,4157,"9,233",4389,4597,1777,2820,,,,
L20,18180,1707,1707,"10,186",0,5102,3661,1441,,,,
L21,16928,2306,1581,"6,942",4007,3859,1606,1799,454,,,
L22,18160,2125,2125,"9,019",3771,4755,793,2462,1500,,,
L23,18176,3000,2267,"8,377",3740,3796,1812,1984,,,,
L24,13793,4931,4613,"5,660",2980,3446,529,193,1668,1056,,
L25,13790,7203,6704,"8,315",3841,4126,1933,2193,,,,
L26,17039,3438,2483,"9,041",5073,4942,3169,1773,,,,
L27,17229,4458,3491,"9,011",4249,4280,1385,2895,,,,
L28,13188,7774,7353,"7,407",4038,3391,2356,1035,,,,
L29,12275,9320,8816,"7,255",2455,3214,864,1997,353,,,
M01,20814,3989,3066,"7,848",3464,2351,834,1517,,,,
M02,19115,3946,3060,"11,061",0,5315,3551,1532,232,,,
M03,18156,3461,3461,"12,504",4128,5866,3138,192,2536,,,
M04,16168,4667,3982,"10,021",4953,4599,2216,2383,,,,
M05,15098,7431,6525,"8,345",2688,3142,1057,2085,,,,
M06,15021,2695,1958,"7,880",3285,3439,1616,1731,92,,,
M07,18451,3315,3315,"8,888",3797,0,,,,,,
M08,16720,3534,2923,"10,511",0,3458,1853,1605,,,,
M09,14648,7280,6550,"8,034",0,0,,,,,,
M10,15084,5103,4340,"9,650",0,4171,1498,2673,,,,
M11,18889,5836,4958,"7,572",0,2472,742,631,1099,,,
M12,19834,2322,2322,"7,691",0,2729,892,1837,,,,
M13,19173,5237,5237,"8,982",2380,4411,2597,1021,96,697,,
M14,18570,2340,2340,"11,252",3013,4885,676,179,445,920,2493,172
M15,12629,5403,4619,"8,453",5660,3755,2073,1682,,,,
M16,12184,6981,6560,"7,125",4695,3509,1488,2021,,,,
M17,13632,7534,6590,"7,878",3713,2503,1454,1049,,,,
M18,16204,6627,5903,"9,774",2817,4454,2505,1949,,,,
M19,14031,5109,5109,"7,787",0,4358,2013,99,391,25,94,1736
M20,16378,3835,3835,"9,334",4201,0,,,,,,
M21,13594,5043,4299,"9,370",4353,3929,1243,2686,,,,
M22,12737,6442,5846,"9,881",4941,3656,2366,1290,,,,
M23,15130,4412,3901,"10,936",0,3616,2295,1321,,,,
M24,17406,5868,5203,"8,438",3133,2918,2516,402,,,,
M25,15263,5688,5110,"10,080",4604,3739,1283,2456,,,,
M26,14991,6018,5751,"8,616",3818,5024,2677,80,2267,,,
M27,18977,4350,3744,"9,748",2914,4096,2970,1126,,,,
M28,18892,2168,2168,"12,242",3315,3867,2823,1044,,,,
M29,19055,3432,3432,"7,703",3958,2372,728,1644,,,,
M30,18506,2951,2072,"9,046",3503,3406,2179,1227,,,,
M31,19682,5031,5031,"9,149",3605,0,,,,,,
M32,15510,5460,4755,"10,159",3560,4093,2598,1249,246,,,
M33,16288,3918,3061,"10,011",0,4903,2013,2890,,,,
M34,16576,5513,4771,"7,278",3347,2664,1049,1615,,,,
M35,13947,5062,4690,"6,060",4412,3013,2651,362,,,,
N01,15660,4302,3522,"7,360",5101,3761,2173,1425,163,,,
